courseid|userid|created_stamp|INSTANCECODE
`0JoyAXL1`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0JrMuEV5`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0JwdzWZZ`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0jyvMvc7`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0k0gdJ56`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0k1sHA2V`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0Ka1XdYU`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0Kbt6EVE`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0kGRTCWN`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0KiIjRD0`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0KnDaztC`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0KXbIZRF`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0KZPLNME`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0l3LINAV`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0L4srFUy`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0L4Z3P5J`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0LceylJE`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0LInLBzN`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0liW586g`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0LjHirBq`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0LKrN1y0`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0lQuJaAr`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0lRG0PAt`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0lYXaAyz`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0m3z7cIJ`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0MAayItF`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0mCCiTYh`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0mj4AmJY`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0MNDyYMY`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0MPNyxpH`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0mRfKPtu`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0MWGvJFo`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0mWtBwm`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0mwXpFjF`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0mxUqrRu`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0MYGBwMb`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0NDBqlk9`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0NNLjc00`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0NvtFMci`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0Nw0LNfM`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0nwEaaJH`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0NyFibnR`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0O1kHsvR`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0OhA9VWS`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0onYn91x`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
